wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;DO16-blank5;3;DO3side2-blank7;2;blank;mppc
633;-0.004933897;-0.005053249;0.526475072;1.280.264.854;0.654813826;2.744.087.696;2.737.184.525;1.808.492.422;-0.002994958544;103.526.032
632;-0.005083849;-0.005060925;0.526650667;1.280.576.944;0.654394507;2.743.403.196;2.736.209.393;1.808.379.054;-0.002930169459;1.035.293.579
631;-0.005208991;-0.005035645;0.526273906;1.280.240.893;0.654209256;2.746.860.981;2.738.718.748;1.809.375.048;-0.003096956061;1.035.259.247
630;-0.005137778;-0.004995266;0.526388884;1.279.726.863;0.654031217;2.747.323.751;273.853.898;1.808.311.343;-0.003085184377;1.035.202.026
629;-0.005117619;-0.005109126;0.52633065;1.279.805.779;0.654230654;2.744.254.351;2.738.483.667;1.808.781.505;-0.003086880781;103.531.599
628;-0.005086561;-0.005268225;0.526295006;1.279.831.886;0.654382289;2.747.273.445;2.736.531.258;1.809.195.757;-0.003091558814;1.035.315.156
627;-0.005139467;-0.005032114;0.526265383;1.279.963.374;0.654548824;2.747.295.618;2.737.006.664;1.809.381.366;-0.00302909757;1.035.655.618
626;-0.005257995;-0.004863458;0.526478887;1.280.317.783;0.654759526;2.744.829.178;2.738.708.019;1.808.001.995;-0.002994958544;1.035.532.951
625;-0.005198249;-0.005083593;0.526546001;1.280.192.375;0.655176342;2.746.558.428;2.736.759.901;1.809.533;-0.003127232194;103.555.274
624;-0.005027201;-0.005060771;0.526831031;1.280.900.002;0.655288398;2.746.240.377;2.737.591.267;1.809.919.953;-0.002916953294;1.035.919.905
623;-0.00501108;-0.004834531;0.527161062;1.281.117.439;0.655905426;2.747.490.406;2.738.577.366;180.938.828;-0.002798710251;1.035.533.071
622;-0.00510667;-0.004891102;0.527710915;1.282.229.424;0.656425118;274.505.949;2.737.547.398;1.809.776.664;-0.002926981077;1.036.144.972
621;-0.004903696;-0.004812515;0.528031528;1.282.916.546;0.656895697;2.746.333.361;2.738.521.814;1.809.558.988;-0.002826126525;103.619.945
620;-0.005017477;-0.004768889;0.528361321;1.283.892.155;0.65765363;27.471.807;2.739.658.833;1.809.432.507;-0.002666182118;1.036.355.972
619;-0.004833814;-0.004836477;0.529006541;1.285.181.522;0.658146918;2.746.211.767;2.738.732.338;180.985.868;-0.002796086716;1.036.133.766
618;-0.004886955;-0.00462518;0.529459298;1.285.956.025;0.658546925;2.746.752.977;2.737.240.314;1.809.138.656;-0.002646320034;1.036.152.959
