,405,,480,,0,,650,,550
530,3901.56,530,4245.917,480,1660501.303,480,535.81,480,181.9668
531,4312.65,531,4298.222,481,1674657.235,481,550.3444,481,254.7815
532,4075.121,532,4394.266,482,1687786.836,482,256.8338,482,-30.8192
533,4294.819,533,4689.368,483,1705663.658,483,570.2792,483,279.9475
534,3751.922,534,3575.318,484,1720957.608,484,565.0817,484,188.3539
535,4231.081,535,4171.681,485,1723689.126,485,978.481,485,294.5774
536,4133.983,536,4253.843,486,1738963.617,486,750.9979,486,84.6141
537,4075.491,537,3758.429,487,1772303.593,487,959.6229,487,191.9106
538,4243.844,538,3620.048,488,1820542.491,488,591.1017,488,-21.4933
539,4337.014,539,3769.844,489,1873404.689,489,799.4543,489,194.4509
540,4245.756,540,3319.21,490,1924648.828,490,1064.2163,490,369.1944
541,4124.741,541,3891.206,491,1998160.439,491,993.1058,491,501.9867
542,3718.764,542,3216.549,492,2098368.236,492,1140.5882,492,394.7923
543,4414.472,543,3433.266,493,2207500.114,493,914.8259,493,407.7951
544,4211.701,544,3078.79,494,2323860.457,494,631.3628,494,55.3798
545,4064.596,545,3534.315,495,2440883.342,495,300.2049,495,233.4913
546,3979.734,546,3235.407,496,2557183.435,496,479.9256,496,457.6026
547,4497.337,547,3323.879,497,2679893.187,497,414.4444,497,403.2428
548,4496.641,548,3183.498,498,2803684.226,498,359.7183,498,112.4095
549,4168.324,549,3456.914,499,2939872.441,499,350.3671,499,327.7622
550,3984.397,550,3367.441,500,3066011.996,500,34.0896,500,22.7263
551,4186.317,551,3681.831,501,3183750.283,501,503.7604,501,125.936
552,4357.321,552,3322.891,502,3334487.76,502,346.0517,502,299.9103
553,4492.398,553,3262.305,503,3466553.982,503,173.6707,503,243.1404
554,4129.919,554,3493.094,504,3606378.098,504,290.5218,504,511.3285
555,5066.123,555,3903.428,505,3757459.421,505,352.423,505,328.9275
556,5072.624,556,3847.928,506,3901648.943,506,296.8603,506,368.1091
557,4365.867,557,3168.559,507,4039741.582,507,310.8047,507,346.6678
558,4588.959,558,3702.875,508,4170051.717,508,445.2213,508,469.2882
559,4738.325,559,3701.043,509,4285503.862,509,230.0287,509,375.3146
560,4348.511,560,4041.701,510,4402905.432,510,267.9624,510,328.864
561,4522.518,561,3650.532,511,4538617.081,511,417.7939,511,552.9691
562,4369.359,562,4040.213,512,4678328.267,512,123.9642,512,223.1373
563,4624.514,563,4053.233,513,4802635.291,513,212.5843,513,650.2807
564,4920.411,564,3546.147,514,4915624.873,514,403.6407,514,756.8471
565,4492.455,565,3649.955,515,5028029.933,515,317.5993,515,622.5093
566,5151.916,566,4076.009,516,5087677.405,516,204.6967,516,447.783
567,4414.314,567,3919.504,517,5198001.543,517,399.7546,517,992.9848
568,4182.195,568,4489.217,518,5331898.169,518,389.9196,518,1013.8398
569,4891.374,569,4214.554,519,5447672.553,519,327.4134,519,1244.2584
570,4325.017,570,4539.369,520,5547739.227,520,171.5518,520,871.001
571,4837.042,571,3932.373,521,5650582.045,521,305.947,521,1450.048
572,4504.597,572,4028.243,522,5745692.852,522,93.8524,522,938.5837
573,4238.92,573,4258.919,523,5844904.85,523,473.1182,523,1473.5342
574,4835.353,574,4512.923,524,5923173.018,524,299.818,524,2099.0031
575,4454.662,575,4698.81,525,5983899.097,525,274.7992,525,1305.3942
576,4744.003,576,4394.803,526,6065594.973,526,554.0715,526,1426.8245
577,4965.816,577,4841.641,527,6146912.035,527,306.7629,527,2580.0209
578,4148.065,578,4815.245,528,6207760.099,528,42.1061,528,2779.5485
579,4786.188,579,4744.194,529,6325705.457,529,283.7627,529,2540.0797
580,4988.959,580,4291.208,530,6420938.519,530,372.8989,530,2725.4739
581,5080.716,581,4183.944,531,6468759.318,531,360.5296,531,3476.2566
582,4979.693,582,3966.323,532,6521403.058,532,318.9989,532,5091.1619
583,5120.269,583,4404.153,533,6599689.583,533,525.8099,533,7043.1529
584,5262.298,584,4214.003,534,6673494.079,534,411.9305,534,7153.2195
585,5548.943,585,3632.92,535,6735912.409,535,44.5293,535,10219.0589
586,5329.087,586,4462.937,536,6802522.333,536,119.8063,536,12215.1125
587,4308.437,587,4196.217,537,6862321.802,537,362.2179,537,14502.3019
588,5193.596,588,4513.077,538,6949091.748,538,684.378,538,21640.958
589,5112.467,589,3856.961,539,7002470.753,539,551.6072,539,45657.0732
590,5213.755,590,4065.147,540,7060375.272,540,571.1602,540,182671.2722
591,5274.675,591,4534.225,541,7100998.352,541,404.6359,541,1199395.352
592,5475.894,592,4007.636,542,7139772.041,542,753.0933,542,1928830.041
593,5128.013,593,4069.295,543,7208460.696,543,348.0384,543,1654911.696
594,5034.244,594,3822.981,544,7299909.893,544,622.1158,544,1580493.893
595,5261.783,595,4065.72,545,7347657.63,545,192.7614,545,1920942.63
596,5010.334,596,4239.377,546,7384797.897,546,549.9662,546,1828432.897
597,5275.446,597,3889.508,547,7434599.698,547,374.7247,547,2096404.698
598,5201.406,598,4121.688,548,7464612.078,548,705.5758,548,1977042.078
599,5293.067,599,3981.957,549,7524408.811,549,810.4155,549,1752776.811
600,5186.255,600,4213.668,550,7579141.277,550,650.1036,550,1769192.277
601,5344.172,601,3336.705,551,7608184.25,551,319.4018,551,2057068.25
602,4089.694,602,4291.688,552,7682619.207,552,847.6287,552,2079801.207
603,5405.719,603,3671.559,553,7753580.133,553,478.2015,553,1780421.133
604,5768.859,604,3656.745,554,7801937.791,554,533.3842,554,2100487.791
605,6202.911,605,4048.426,555,7853717.416,555,711.229,555,1725934.416
606,5073.645,606,4027.371,556,7887396.062,556,629.6016,556,1801690.062
607,5167.691,607,3901.947,557,7913735.569,557,968.1348,557,1393370.569
608,5448.951,608,4199.481,558,7915599.425,558,389.7457,558,378100.8247
609,4986.905,609,4370.145,559,7994567.658,559,786.6523,559,40800.4283
610,4895.066,610,4597.525,560,8024059.482,560,775.7809,560,24876.2319
611,5356.959,611,4318.201,561,8072138.564,561,290.5664,561,9557.2544
612,5551.865,612,3728.619,562,8140036.477,562,767.755,562,10388.437
613,5599.726,613,4457.311,563,8166008.437,563,552.67,563,9178.627
614,5732.25,614,4411.377,564,8213992.949,564,686.9103,564,9175.3693
615,5914.836,615,4407.457,565,8249524.846,565,804.7889,565,6964.6559
616,5870.876,616,3769.748,566,8304010.163,566,245.292,566,4265.216
617,6141.472,617,4374.083,567,8393688.837,567,570.7571,567,4890.5961
618,5248.641,618,4286.249,568,8430064.58,568,882.4026,568,4105.7776
619,5625.732,619,4653.593,569,8475731.513,569,695.9201,569,4156.9341
620,6039.691,620,4581.61,570,8519483.424,570,194.806,570,3526.588
621,5460.63,621,4440.361,571,8568237.754,571,806.097,571,3382.118
622,5991.029,622,4659.484,572,8565153.498,572,853.2171,572,3056.0461
623,5606.792,623,4656.863,573,8627709.318,573,999.6569,573,3579.2349
624,5677.613,624,4436.427,574,8709559.26,574,664.7856,574,2175.8256
625,6249.77,625,4905.858,575,8779192.494,575,1139.0043,575,2949.4693
626,6074.251,626,4846.623,576,8820161.948,576,759.7866,576,2156.2956
627,5635.462,627,4552.789,577,8872506.592,577,1158.5632,577,1965.4962
628,6055.641,628,5379.1,578,8882060.4,578,1042.182,578,1000.493
629,5791.086,629,5107.761,579,8901774.563,579,1028.525,579,1490.345
630,5652.124,630,4238.911,580,8942855.94,580,1056.896,580,1014.618
631,5291.662,631,5691.101,581,8976490.72,581,1238.081,581,576.33
632,6101.311,632,5022.466,582,9008672.448,582,1508.9,582,862.203
633,5228.797,633,5262.755,583,8987662.25,583,1301.6458,583,846.0518
634,6463.976,634,5129.939,584,9033105.765,584,1288.1491,584,938.8051
635,5477.714,635,4368.164,585,9143041.418,585,2135.738,585,748.562
636,6467.232,636,5307.173,586,9178262.775,586,1198.956,586,421.84
637,5614.321,637,5436.625,587,9214035.295,587,1458.552,587,560.959
638,5496.56,638,5209.117,588,9276019.139,588,1791.619,588,226.771
639,7201.92,639,5637.625,589,9295862.098,589,2350.801,589,502.072
640,6186.755,640,5597.45,590,9280471.378,590,3123.6119,590,1446.8619
641,6205.097,641,4904.456,591,9329936.792,591,3701.5714,591,855.8834
642,6448.253,642,4910.969,592,9377635.751,592,2749.65,592,419.397
643,6316.364,643,5098.588,593,9412807.007,593,5010.894,593,917.328
644,6450.083,644,5445.737,594,9450369.076,594,7291.475,594,712.325
645,6628.543,645,6004.584,595,9450090.942,595,17087.272,595,95.659
646,7794.164,646,6061.86,596,9509628.183,596,57751.683,596,-144.515
647,5917.692,647,5679.361,597,9588050.814,597,131610.014,597,340.32
648,6932.791,648,5810.558,598,9593008.516,598,192086.116,598,490.651
649,6370.407,649,5477.618,599,9613689.544,599,215691.1444,599,939.7984
650,6245.17,650,6204.077,600,9636632.742,600,252826.0415,600,523.5555
651,6957.703,651,5374.309,601,9649625.791,601,294054.591,601,426.488
652,6675.438,652,6844.464,602,9628790.89,602,339480.69,602,479.635
653,5652.009,653,6037.428,603,9642774.76,603,377911.36,603,203.967
654,7378.064,654,6379.709,604,9672578.033,604,424093.633,604,386.263
655,6945.45,655,6725.624,605,9700616.264,605,470273.664,605,700.66
656,8282.273,656,6589.945,606,9695780.149,606,533397.249,606,183.052
657,6345.885,657,6120.823,607,9658168.259,607,597427.559,607,474.535
658,7278.989,658,5959.499,608,9643005.461,608,672203.861,608,186.045
659,7556.807,659,7003.786,609,9688986.234,609,754353.934,609,723.86
660,7654.359,660,7981.125,610,9797153.579,610,835541.1785,610,676.0555
661,8031.621,661,6992.081,611,9835574.286,611,918629.586,611,382.607
662,8704.473,662,6599.804,612,9835223.239,612,1018124.239,612,55.236
663,7757.551,663,7224.14,613,9847904.813,613,1111185.813,613,362.137
