,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
521,850331,521,2582473,781,586508.8,831,256999.1,521,3251.775
522,867118.3,522,2640377,782,594518.5,832,254028.7,522,2386.75
523,896853.7,523,2685714,783,575372.4,833,240565.1,523,2737.992
524,922885.3,524,2784383,784,574691.8,834,231413,524,2703.373
525,933540.6,525,2837033,785,546956,835,233360,525,3231.609
526,959754.1,526,2892135,786,523161.8,836,231386.7,526,2858.295
527,978838.1,527,2943643,787,516398.3,837,203687.2,527,2799.626
528,989335.3,528,3002211,788,505360.8,838,217137,528,2618.954
529,1010180,529,3056880,789,480697,839,202193.3,529,2816.281
530,1033284,530,3106478,790,467828.8,840,190027.8,530,2993.36
531,1053332,531,3192416,791,463861.1,841,190638.4,531,2900.521
532,1066430,532,3204525,792,453312.9,842,186174.6,532,2652.937
533,1094103,533,3283449,793,436213.1,843,168487.4,533,3695.816
534,1107294,534,3327808,794,434261.7,844,162855.3,534,2703.913
535,1132830,535,3386724,795,421566.1,845,162710.8,535,2822.966
536,1131631,536,3443799,796,412793.3,846,157248.2,536,3820.965
537,1165861,537,3471318,797,415129,847,146161.9,537,2716.466
538,1176839,538,3495381,798,417747.6,848,146073.5,538,3465.958
539,1205708,539,3596155,799,413654.5,849,136633.6,539,2375.825
540,1232651,540,3663358,800,398175.1,850,122046.6,540,2709.406
541,1237986,541,3714608,801,391487.4,851,123796.3,541,3092.762
542,1270333,542,3768925,802,381081.8,852,120056.6,542,3115.194
543,1272771,543,3796657,803,369359.8,853,111724.6,543,3633.342
544,1305174,544,3874092,804,375244,854,107657.3,544,2985.792
545,1327027,545,3926189,805,363736,855,94465.84,545,3275.269
546,1343112,546,3984312,806,348346.1,856,98137.77,546,3664.729
547,1371399,547,4024850,807,344776.3,857,93099.29,547,3690.516
548,1380727,548,4085858,808,332194.9,858,82913.42,548,3733.802
549,1400210,549,4137243,809,331625.6,859,78384.23,549,3160.643
550,1420107,550,4189827,810,321329,860,79224.57,550,3236.863
551,1448777,551,4236695,811,316135.4,861,72388.25,551,3397.943
552,1465957,552,4287272,812,300242.9,862,68199.93,552,4075.94
553,1488583,553,4355520,813,298035.3,863,66215.41,553,3012
554,1506817,554,4403788,814,281745.8,864,57306.76,554,3465.131
555,1529408,555,4455010,815,282737.2,865,59391.66,555,3509.087
556,1561241,556,4536866,816,270164.1,866,56333.25,556,3758.381
557,1565824,557,4565198,817,265350.1,867,52704.56,557,3670.573
558,1576688,558,4628685,818,260438.3,868,50936.41,558,3502.095
559,1610027,559,4672536,819,249802.8,869,50907.46,559,3859.419
560,1612798,560,4700657,820,241087.9,870,46460.71,560,4056.06
561,1625268,561,4766283,821,240645.5,871,45736.33,561,3568.932
562,1652910,562,4830274,822,226979.9,872,42635.52,562,3510.583
563,1672445,563,4867631,823,225887.7,873,41888.93,563,3721.157
564,1683441,564,4872697,824,222017.5,874,37398.21,564,3949.746
565,1707485,565,4960837,825,204102.2,875,36885.27,565,2926.396
566,1715333,566,4982526,826,209871.1,876,33492.86,566,3416.765
567,1744261,567,5040318,827,197134.7,877,31999.8,567,3708.061
568,1763909,568,5078913,828,185949.6,878,33029.71,568,3770.888
569,1753287,569,5094655,829,185716.7,879,33780.64,569,3164.098
570,1793645,570,5180604,830,179602.5,880,27831.56,570,2869.383
571,1812737,571,5185606,831,171717.6,881,29026.69,571,3720.651
572,1806455,572,5182123,832,166683.4,882,30083.08,572,3773.425
573,1826860,573,5303251,833,156696.6,883,25932.14,573,3508.301
574,1833576,574,5290661,834,153909,884,31864.14,574,3223.855
575,1871014,575,5378489,835,145372,885,27116.49,575,3133.456
576,1859253,576,5404130,836,141166,886,27863.3,576,3476.62
577,1868581,577,5396070,837,136245.6,887,27528.1,577,3298.837
578,1878131,578,5451979,838,135533.3,888,30908.09,578,2856.638
579,1907988,579,5494596,839,128297.8,889,28185.24,579,3569.5
580,1943805,580,5531384,840,123740,890,25507.76,580,3503.291
581,1934142,581,5557922,841,119776.4,891,26021.31,581,3905.732
582,1943264,582,5547238,842,110449.2,892,29644.94,582,3561.949
583,1975040,583,5628132,843,108455,893,28911.85,583,3515.28
584,1992148,584,5688464,844,102404.1,894,27398.46,584,3403.405
585,1985013,585,5689823,845,96318.33,895,23806.01,585,2798.965
586,2011330,586,5693613,846,98412.95,896,26117.74,586,2998.952
587,1998068,587,5745601,847,90493.73,897,28986.21,587,3271.641
588,2022128,588,5737230,848,86613.59,898,28066.68,588,3162.338
589,2021216,589,5768522,849,81621.91,899,26145.78,589,3636.692
590,2033271,590,5842749,850,78378.23,900,27514.71,590,3540.837
591,2027849,591,5796473,851,74052.41,,,591,3448.812
592,2064252,592,5902782,852,69974.94,,,592,3638.362
593,2057988,593,5906851,853,66370.76,,,593,2956.839
594,2080393,594,5970559,854,63204.34,,,594,3183.509
595,2114689,595,5984296,855,60047.41,,,595,3964.447
596,2116442,596,6016708,856,54603.8,,,596,3272.759
597,2113614,597,6028871,857,55509.92,,,597,4267.295
598,2123703,598,6031681,858,53497.96,,,598,3352.212
599,2133968,599,6028150,859,51244.61,,,599,3937.274
600,2127871,600,6082327,860,51730.25,,,600,3963.048
601,2116284,601,6077222,861,41544.17,,,601,3396.742
602,2138267,602,6113085,862,41991.28,,,602,3084.303
