Time,Read
1710,1722
1711,1182
1712,682
1713,4095
1714,4095
1715,4095
1715,4095
1716,4095
1717,4095
1718,2203
1719,1950
1720,1530
1721,903
1722,672
1723,873
1724,1225
1725,1648
1726,2023
1727,2293
1728,2463
1729,4095
1730,4095
1730,4095
1731,4095
1732,4095
1733,4095
1734,1483
1735,1856
1736,2163
1737,2303
1738,2231
1739,2018
1740,1646
1741,1056
1742,680
1743,833
1744,1194
1745,1648
1746,4095
1747,4095
1748,4095
1748,4095
1749,4095
1750,4095
1751,823
1752,702
1753,930
1754,1278
1755,1703
1756,2073
1757,2285
1758,2298
1759,2143
1760,1853
1761,1421
1762,4095
1763,4095
1763,4095
1764,4095
1765,4095
1766,4095
1767,2295
1768,2207
1769,1959
1770,1567
1771,954
1772,672
1773,848
1774,1203
1775,1633
1776,2032
1777,2485
1778,4095
1778,4095
1779,4095
1780,4095
1781,4095
1782,4095
1783,988
1784,1360
1785,1777
1786,2098
1787,2271
1788,2255
1789,2069
1790,1712
1791,1168
1792,674
1793,816
1794,4095
1794,4095
1795,4095
1796,4095
1797,4095
1798,4095
1799,1970
1800,1555
1801,957
1802,676
1803,848
1804,1166
1805,1617
1806,2206
1807,2271
1808,2419
1809,4095
1809,4095
1810,4095
1811,4095
1812,4095
1813,4095
1814,4095
1815,1826
1816,2143
1817,2315
1818,2251
1819,2031
1820,1675
1821,1109
1822,688
1823,822
1824,1157
1825,1615
1826,2597
1826,4095
1827,4095
1828,4095
1829,4095
1830,4095
1831,4095
1832,4095
1833,969
1834,1328
1835,1741
1836,2096
1837,2294
1838,2291
1839,2101
1840,1778
1841,1251
1842,669
1843,837
1843,4095
1844,4095
1845,4095
1846,4095
1847,4095
1848,4095
1849,2000
1850,1602
1851,998
1852,683
1853,832
1854,1168
1855,1598
1856,2000
1857,2426
1857,4095
1858,4095
1859,4095
1860,4095
1861,4095
1862,4095
1863,4095
1864,4095
1865,1777
1866,2107
1867,2288
1868,2255
1869,2058
1870,1710
1871,1152
1872,676
1873,797
1874,1196
1875,3526
1875,4095
1876,4095
1877,4095
1878,4095
1879,4095
1880,4095
1881,4095
1882,4095
1883,915
1884,1277
1885,1691
1886,2038
1887,2266
1888,2274
1889,2121
1890,1808
1891,1306
1892,704
1892,4095
1893,4095
1894,4095
1895,4095
1896,4095
1897,4095
1898,4095
1899,4095
1900,4095
1901,1030
1902,676
1903,848
1904,1186
1905,1601
1906,1986
1907,2237
1908,2309
1909,2225
1909,4095
1910,4095
1911,4095
1912,4095
1913,4095
1914,4095
1915,4095
1916,4095
1917,4095
1918,4095
1919,2042
1920,1677
1921,1100
1922,692
1923,807
1924,1136
1925,1568
1926,1973
1926,2295
1927,4095
1928,4095
1929,4095
1930,4095
1931,4095
1932,4095
1933,4095
1934,4095
1935,4095
1936,4095
1937,2293
1938,2269
1939,2078
1940,1744
1941,1204
1942,666
1943,777
1944,1144
1944,4095
1945,4095
1946,4095
1947,4095
1948,4095
1949,4095
1950,4095
1951,4095
1952,4095
1953,4095
1954,4095
1955,1721
1956,2073
1957,2286
1958,2283
1959,2111
1960,1801
1961,1307
1962,688
1963,784
1963,4095
1964,4095
1965,4095
1966,4095
1967,4095
1968,4095
1969,4095
1970,4095
1971,4095
1972,4095
1973,865
1974,1208
1975,1638
1976,2000
1977,2255
1978,2307
1979,2175
1980,1907
1980,1473
1981,4095
1982,4095
1983,4095
1984,4095
1985,4095
1986,4095
1987,4095
1988,4095
1989,4095
1990,4095
1991,4095
1992,4095
1993,854
1994,1194
1995,1616
1996,1981
1997,2250
1998,2315
1999,2192
2000,1929
2000,1636
2001,4095
2002,4095
2003,4095
2004,4095
2005,4095
2006,4095
2007,4095
2008,4095
2009,4095
2010,4095
2011,4095
2012,4095
2013,841
2014,1180
2015,1594
2016,1975
2017,2247
2018,2323
2019,2211
2019,1974
2020,4095
2021,4095
2022,4095
2023,4095
2024,4095
2025,4095
2026,4095
2027,4095
2028,4095
2029,4095
2030,4095
2031,4095
2032,4095
2033,832
2034,1168
2035,1584
2036,1966
2037,2235
2038,2323
2038,2231
2039,2199
2040,4095
2041,4095
2042,4095
2043,4095
2044,4095
2045,4095
2046,4095
2047,4095
2048,4095
2049,4095
2050,4095
2051,4095
2052,679
2053,789
2054,1124
2055,1535
2055,1940
2056,2279
2057,4095
2058,4095
2059,4095
2060,4095
2061,4095
2062,4095
2063,4095
2064,4095
2065,4095
2066,4095
2067,4095
2068,4095
2069,4095
2070,1772
2071,1238
2072,656
2073,762
2073,1102
2074,1798
2075,4095
2076,4095
2077,4095
2078,4095
2079,4095
2080,4095
2081,4095
2082,4095
2083,4095
2084,4095
2085,4095
2086,4095
2087,4095
2088,2270
2089,2119
2090,1809
2091,1324
2092,700
2092,758
2093,4095
2094,4095
2095,4095
2096,4095
2097,4095
2098,4095
2099,4095
2100,4095
2101,4095
2102,4095
2103,4095
2104,4095
2105,4095
2106,1986
2107,2635
2108,2290
2109,2151
2110,1870
2111,1405
2111,770
2112,4095
2113,4095
2114,4095
2115,4095
2116,4095
2117,4095
2118,4095
2119,4095
2120,4095
2121,4095
2122,4095
2123,4095
2124,4095
2125,4095
2126,1978
2127,2227
2128,2288
2129,2160
2130,1886
2130,1426
2131,822
2132,4095
2133,4095
2134,4095
2135,4095
2136,4095
2137,4095
2138,4095
2139,4095
2140,4095
2141,4095
2142,4095
2143,4095
2144,4095
2145,4095
2146,1958
2147,2225
2148,2291
2149,2175
2149,1894
2150,1460
2151,862
2152,4095
2153,4095
2154,4095
2155,4095
2156,4095
2157,4095
2158,4095
2159,4095
2160,4095
2161,4095
2162,4095
2163,4095
2164,4095
2165,4095
2166,1943
2167,2222
2168,2287
2169,2186
2169,1927
2170,1503
2171,912
2172,4095
2173,4095
2174,4095
2175,4095
2176,4095
2177,4095
2178,4095
2179,4095
2180,4095
2181,4095
2182,4095
2183,4095
2184,4095
2185,4095
2186,1939
2187,2213
2188,2299
2188,2192
2189,1957
2190,1535
2191,1392
2192,4095
2193,4095
2194,4095
2195,4095
2196,4095
2197,4095
2198,4095
2199,4095
2200,4095
2201,4095
2202,4095
2203,4095
2204,4095
2205,4095
2206,4095
2207,4095
2208,2291
2209,2171
2209,1910
2210,1472
2211,858
2212,4095
2213,4095
2214,4095
2215,4095
2216,4095
2217,4095
2218,4095
2219,4095
2220,4095
2221,4095
2222,4095
2223,4095
2224,4095
2225,4095
2226,4095
2227,4095
2228,2295
2228,2183
2229,1926
2230,1503
2231,900
2232,4095
2233,4095
2234,4095
2235,4095
2236,4095
2237,4095
2238,4095
2239,4095
2240,4095
2241,4095
2242,4095
2243,4095
2244,4095
2245,4095
2246,4095
2247,4095
2248,2288
2248,2192
2249,1940
2250,1535
2251,944
2252,4095
2253,4095
2254,4095
2255,4095
2256,4095
2257,4095
2258,4095
2259,4095
2260,4095
2261,4095
2262,4095
2263,4095
2264,4095
2265,4095
2266,4095
2267,4095
2267,2300
2268,2193
2269,1957
2270,1571
2271,1051
2272,4095
2273,4095
2274,4095
2275,4095
2276,4095
2277,4095
2278,4095
2279,4095
2280,4095
2281,4095
2282,4095
2283,4095
2284,4095
2285,4095
2286,4095
2287,4095
2288,4095
2288,4095
2289,1932
2290,1514
2291,896
2292,4095
2293,4095
2294,4095
2295,4095
2296,4095
2297,4095
2298,4095
2299,4095
